YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,Georgia,Associate degree in college,253
2012,Georgia,Bachelor's degree,617
2012,Georgia,Doctorate degree,28
2012,Georgia,Elementary,54
2012,Georgia,High School,350
2012,Georgia,High school graduate,917
2012,Georgia,Kindergarten,11
2012,Georgia,Master's degree,190
2012,Georgia,Middle School,221
2012,Georgia,Pre-School,1080
2012,Georgia,Professional school degree,46
2012,Georgia,Some college but no degree,579
2012,Hawaii,Associate degree in college,261
2012,Hawaii,Bachelor's degree,506
2012,Hawaii,Doctorate degree,37
2012,Hawaii,Elementary,73
2012,Hawaii,High School,223
2012,Hawaii,High school graduate,955
2012,Hawaii,Kindergarten,8
2012,Hawaii,Master's degree,172
2012,Hawaii,Middle School,119
2012,Hawaii,Pre-School,686
2012,Hawaii,Professional school degree,46
2012,Hawaii,Some college but no degree,530
2012,Idaho,Associate degree in college,181
2012,Idaho,Bachelor's degree,253
2012,Idaho,Doctorate degree,21
2012,Idaho,Elementary,58
2012,Idaho,High School,150
2012,Idaho,High school graduate,442
2012,Idaho,Kindergarten,3
2012,Idaho,Master's degree,81
2012,Idaho,Middle School,113
2012,Idaho,Pre-School,717
2012,Idaho,Professional school degree,18
2012,Idaho,Some college but no degree,361
2012,Illinois,Associate degree in college,372
2012,Illinois,Bachelor's degree,879
2012,Illinois,Doctorate degree,61
2012,Illinois,Elementary,135
2012,Illinois,High School,441
2012,Illinois,High school graduate,1360
2012,Illinois,Kindergarten,12
2012,Illinois,Master's degree,380
2012,Illinois,Middle School,328
2012,Illinois,Pre-School,1545
2012,Illinois,Professional school degree,65
2012,Illinois,Some college but no degree,888
2012,Indiana,Associate degree in college,202
2012,Indiana,Bachelor's degree,303
2012,Indiana,Doctorate degree,19
2012,Indiana,Elementary,29
2012,Indiana,High School,268
2012,Indiana,High school graduate,695
2012,Indiana,Kindergarten,2
2012,Indiana,Master's degree,102
2012,Indiana,Middle School,144
2012,Indiana,Pre-School,802
2012,Indiana,Professional school degree,37
2012,Indiana,Some college but no degree,417
2012,Iowa,Associate degree in college,346
2012,Iowa,Bachelor's degree,493
2012,Iowa,Doctorate degree,27
2012,Iowa,Elementary,49
2012,Iowa,High School,258
2012,Iowa,High school graduate,823
2012,Iowa,Kindergarten,1
2012,Iowa,Master's degree,133
2012,Iowa,Middle School,196
2012,Iowa,Pre-School,875
2012,Iowa,Professional school degree,26
2012,Iowa,Some college but no degree,493
2012,Kansas,Associate degree in college,196
2012,Kansas,Bachelor's degree,423
2012,Kansas,Doctorate degree,33
2012,Kansas,Elementary,28
2012,Kansas,High School,205
2012,Kansas,High school graduate,533
2012,Kansas,Kindergarten,1
2012,Kansas,Master's degree,174
2012,Kansas,Middle School,120
2012,Kansas,Pre-School,741
2012,Kansas,Professional school degree,26
2012,Kansas,Some college but no degree,397
2012,Kentucky,Associate degree in college,176
2012,Kentucky,Bachelor's degree,284
2012,Kentucky,Doctorate degree,31
2012,Kentucky,Elementary,26
2012,Kentucky,High School,228
2012,Kentucky,High school graduate,752
2012,Kentucky,Kindergarten,4
2012,Kentucky,Master's degree,110
2012,Kentucky,Middle School,160
2012,Kentucky,Pre-School,717
2012,Kentucky,Professional school degree,20
2012,Kentucky,Some college but no degree,402
2012,Louisiana,Associate degree in college,101
2012,Louisiana,Bachelor's degree,203
2012,Louisiana,Doctorate degree,15
2012,Louisiana,Elementary,29
2012,Louisiana,High School,173
2012,Louisiana,High school graduate,489
2012,Louisiana,Kindergarten,3
2012,Louisiana,Master's degree,47
2012,Louisiana,Middle School,122
2012,Louisiana,Pre-School,424
2012,Louisiana,Professional school degree,19
2012,Louisiana,Some college but no degree,270
2012,Maine,Associate degree in college,259
2012,Maine,Bachelor's degree,427
2012,Maine,Doctorate degree,29
2012,Maine,Elementary,11
2012,Maine,High School,212
2012,Maine,High school graduate,812
2012,Maine,Kindergarten,2
2012,Maine,Master's degree,151
2012,Maine,Middle School,148
2012,Maine,Pre-School,688
2012,Maine,Professional school degree,19
2012,Maine,Some college but no degree,460
2012,Maryland,Associate degree in college,271
2012,Maryland,Bachelor's degree,728
2012,Maryland,Doctorate degree,110
2012,Maryland,Elementary,61
2012,Maryland,High School,353
2012,Maryland,High school graduate,990
2012,Maryland,Kindergarten,5
2012,Maryland,Master's degree,415
2012,Maryland,Middle School,212
2012,Maryland,Pre-School,1092
2012,Maryland,Professional school degree,77
2012,Maryland,Some college but no degree,672
2012,Massachusetts,Associate degree in college,201
2012,Massachusetts,Bachelor's degree,500
2012,Massachusetts,Doctorate degree,40
2012,Massachusetts,Elementary,37
2012,Massachusetts,High School,197
2012,Massachusetts,High school graduate,558
2012,Massachusetts,Kindergarten,7
2012,Massachusetts,Master's degree,259
2012,Massachusetts,Middle School,150
2012,Massachusetts,Pre-School,642
2012,Massachusetts,Professional school degree,56
2012,Massachusetts,Some college but no degree,346
2012,Michigan,Associate degree in college,344
2012,Michigan,Bachelor's degree,567
2012,Michigan,Doctorate degree,46
2012,Michigan,Elementary,40
2012,Michigan,High School,362
2012,Michigan,High school graduate,992
2012,Michigan,Kindergarten,11
2012,Michigan,Master's degree,235
2012,Michigan,Middle School,166
2012,Michigan,Pre-School,1078
2012,Michigan,Professional school degree,45
2012,Michigan,Some college but no degree,724
2012,Minnesota,Associate degree in college,484
2012,Minnesota,Bachelor's degree,769
2012,Minnesota,Doctorate degree,45
2012,Minnesota,Elementary,33
2012,Minnesota,High School,280
2012,Minnesota,High school graduate,820
2012,Minnesota,Kindergarten,14
2012,Minnesota,Master's degree,233
2012,Minnesota,Middle School,219
2012,Minnesota,Pre-School,1181
2012,Minnesota,Professional school degree,38
2012,Minnesota,Some college but no degree,601
2012,Mississippi,Associate degree in college,133
2012,Mississippi,Bachelor's degree,209
2012,Mississippi,Doctorate degree,7
2012,Mississippi,Elementary,23
2012,Mississippi,High School,196
2012,Mississippi,High school graduate,395
2012,Mississippi,Kindergarten,2
2012,Mississippi,Master's degree,61
2012,Mississippi,Middle School,121
2012,Mississippi,Pre-School,398
2012,Mississippi,Professional school degree,13
2012,Mississippi,Some college but no degree,250
2012,Missouri,Associate degree in college,219
2012,Missouri,Bachelor's degree,376
2012,Missouri,Doctorate degree,36
2012,Missouri,Elementary,10
2012,Missouri,High School,231
2012,Missouri,High school graduate,640
2012,Missouri,Kindergarten,1
2012,Missouri,Master's degree,153
2012,Missouri,Middle School,157
2012,Missouri,Pre-School,778
2012,Missouri,Professional school degree,28
2012,Missouri,Some college but no degree,431
2012,Montana,Associate degree in college,126
2012,Montana,Bachelor's degree,278
2012,Montana,Doctorate degree,24
2012,Montana,Elementary,4
2012,Montana,High School,100
2012,Montana,High school graduate,398
2012,Montana,Kindergarten,1
2012,Montana,Master's degree,74
2012,Montana,Middle School,51
2012,Montana,Pre-School,455
2012,Montana,Professional school degree,16
2012,Montana,Some college but no degree,284
2012,Nebraska,Associate degree in college,233
2012,Nebraska,Bachelor's degree,448
2012,Nebraska,Doctorate degree,31
2012,Nebraska,Elementary,69
2012,Nebraska,High School,197
2012,Nebraska,High school graduate,653
2012,Nebraska,Kindergarten,9
2012,Nebraska,Master's degree,128
2012,Nebraska,Middle School,151
2012,Nebraska,Pre-School,896
2012,Nebraska,Professional school degree,28
2012,Nebraska,Some college but no degree,479
2012,Nevada,Associate degree in college,205
2012,Nevada,Bachelor's degree,363
2012,Nevada,Doctorate degree,17
2012,Nevada,Elementary,77
2012,Nevada,High School,284
2012,Nevada,High school graduate,694
2012,Nevada,Kindergarten,2
2012,Nevada,Master's degree,115
2012,Nevada,Middle School,130
2012,Nevada,Pre-School,704
2012,Nevada,Professional school degree,27
2012,Nevada,Some college but no degree,498
2012,New Hampshire,Associate degree in college,305
2012,New Hampshire,Bachelor's degree,680
2012,New Hampshire,Doctorate degree,28
2012,New Hampshire,Elementary,7
2012,New Hampshire,High School,234
2012,New Hampshire,High school graduate,766
2012,New Hampshire,Kindergarten,4
2012,New Hampshire,Master's degree,245
2012,New Hampshire,Middle School,168
2012,New Hampshire,Pre-School,785
2012,New Hampshire,Professional school degree,29
2012,New Hampshire,Some college but no degree,473
2012,New Jersey,Associate degree in college,190
2012,New Jersey,Bachelor's degree,713
2012,New Jersey,Doctorate degree,39
2012,New Jersey,Elementary,63
2012,New Jersey,High School,308
2012,New Jersey,High school graduate,909
2012,New Jersey,Kindergarten,19
2012,New Jersey,Master's degree,256
2012,New Jersey,Middle School,176
2012,New Jersey,Pre-School,889
2012,New Jersey,Professional school degree,49
2012,New Jersey,Some college but no degree,487
2012,New Mexico,Associate degree in college,122
2012,New Mexico,Bachelor's degree,222
2012,New Mexico,Doctorate degree,18
2012,New Mexico,Elementary,41
2012,New Mexico,High School,163
2012,New Mexico,High school graduate,393
2012,New Mexico,Kindergarten,4
2012,New Mexico,Master's degree,116
2012,New Mexico,Middle School,130
2012,New Mexico,Pre-School,418
2012,New Mexico,Professional school degree,26
2012,New Mexico,Some college but no degree,258
2012,New York,Associate degree in college,567
2012,New York,Bachelor's degree,1161
2012,New York,Doctorate degree,76
2012,New York,Elementary,196
2012,New York,High School,714
2012,New York,High school graduate,1951
2012,New York,Kindergarten,39
2012,New York,Master's degree,601
2012,New York,Middle School,417
2012,New York,Pre-School,1776
2012,New York,Professional school degree,110
2012,New York,Some college but no degree,1003
2012,North Carolina,Associate degree in college,280
2012,North Carolina,Bachelor's degree,498
2012,North Carolina,Doctorate degree,49
2012,North Carolina,Elementary,71
2012,North Carolina,High School,301
2012,North Carolina,High school graduate,842
2012,North Carolina,Kindergarten,7
2012,North Carolina,Master's degree,182
2012,North Carolina,Middle School,214
2012,North Carolina,Pre-School,958
2012,North Carolina,Professional school degree,44
2012,North Carolina,Some college but no degree,553
2012,North Dakota,Associate degree in college,277
2012,North Dakota,Bachelor's degree,370
2012,North Dakota,Doctorate degree,18
2012,North Dakota,Elementary,3
2012,North Dakota,High School,145
2012,North Dakota,High school graduate,442
2012,North Dakota,Master's degree,95
2012,North Dakota,Middle School,102
2012,North Dakota,Pre-School,534
2012,North Dakota,Professional school degree,22
2012,North Dakota,Some college but no degree,316
2012,Ohio,Associate degree in college,334
2012,Ohio,Bachelor's degree,526
2012,Ohio,Doctorate degree,31
2012,Ohio,Elementary,20
2012,Ohio,High School,366
2012,Ohio,High school graduate,1273
2012,Ohio,Kindergarten,9
2012,Ohio,Master's degree,197
2012,Ohio,Middle School,203
2012,Ohio,Pre-School,1156
2012,Ohio,Professional school degree,33
2012,Ohio,Some college but no degree,692
2012,Oklahoma,Associate degree in college,156
2012,Oklahoma,Bachelor's degree,281
2012,Oklahoma,Doctorate degree,21
2012,Oklahoma,Elementary,27
2012,Oklahoma,High School,174
2012,Oklahoma,High school graduate,565
2012,Oklahoma,Kindergarten,1
2012,Oklahoma,Master's degree,99
2012,Oklahoma,Middle School,85
2012,Oklahoma,Pre-School,624
2012,Oklahoma,Professional school degree,27
2012,Oklahoma,Some college but no degree,395
2012,Oregon,Associate degree in college,184
2012,Oregon,Bachelor's degree,354
2012,Oregon,Doctorate degree,35
2012,Oregon,Elementary,42
2012,Oregon,High School,181
2012,Oregon,High school graduate,511
2012,Oregon,Kindergarten,5
2012,Oregon,Master's degree,180
2012,Oregon,Middle School,82
2012,Oregon,Pre-School,580
2012,Oregon,Professional school degree,17
2012,Oregon,Some college but no degree,484
2012,Pennsylvania,Associate degree in college,366
2012,Pennsylvania,Bachelor's degree,772
2012,Pennsylvania,Doctorate degree,51
2012,Pennsylvania,Elementary,39
2012,Pennsylvania,High School,421
2012,Pennsylvania,High school graduate,1607
2012,Pennsylvania,Kindergarten,7
2012,Pennsylvania,Master's degree,279
2012,Pennsylvania,Middle School,302
2012,Pennsylvania,Pre-School,1334
2012,Pennsylvania,Professional school degree,52
2012,Pennsylvania,Some college but no degree,662
2012,Rhode Island,Associate degree in college,188
2012,Rhode Island,Bachelor's degree,446
2012,Rhode Island,Doctorate degree,34
2012,Rhode Island,Elementary,71
2012,Rhode Island,High School,293
2012,Rhode Island,High school graduate,689
2012,Rhode Island,Kindergarten,9
2012,Rhode Island,Master's degree,197
2012,Rhode Island,Middle School,179
2012,Rhode Island,Pre-School,731
2012,Rhode Island,Professional school degree,29
2012,Rhode Island,Some college but no degree,394
2012,South Carolina,Associate degree in college,182
2012,South Carolina,Bachelor's degree,251
2012,South Carolina,Doctorate degree,15
2012,South Carolina,Elementary,34
2012,South Carolina,High School,197
2012,South Carolina,High school graduate,613
2012,South Carolina,Kindergarten,4
2012,South Carolina,Master's degree,117
2012,South Carolina,Middle School,123
2012,South Carolina,Pre-School,484
2012,South Carolina,Professional school degree,13
2012,South Carolina,Some college but no degree,344
2012,South Dakota,Associate degree in college,305
2012,South Dakota,Bachelor's degree,377
2012,South Dakota,Doctorate degree,25
2012,South Dakota,Elementary,13
2012,South Dakota,High School,210
2012,South Dakota,High school graduate,656
2012,South Dakota,Kindergarten,9
2012,South Dakota,Master's degree,85
2012,South Dakota,Middle School,150
2012,South Dakota,Pre-School,807
2012,South Dakota,Professional school degree,21
2012,South Dakota,Some college but no degree,351
2012,Tennessee,Associate degree in college,159
2012,Tennessee,Bachelor's degree,312
2012,Tennessee,Doctorate degree,18
2012,Tennessee,Elementary,34
2012,Tennessee,High School,195
2012,Tennessee,High school graduate,661
2012,Tennessee,Kindergarten,2
2012,Tennessee,Master's degree,106
2012,Tennessee,Middle School,145
2012,Tennessee,Pre-School,622
2012,Tennessee,Professional school degree,24
2012,Tennessee,Some college but no degree,357
2012,Texas,Associate degree in college,643
2012,Texas,Bachelor's degree,1374
2012,Texas,Doctorate degree,88
2012,Texas,Elementary,507
2012,Texas,High School,987
2012,Texas,High school graduate,2306
2012,Texas,Kindergarten,59
2012,Texas,Master's degree,432
2012,Texas,Middle School,839
2012,Texas,Pre-School,2998
2012,Texas,Professional school degree,63
2012,Texas,Some college but no degree,1577
2012,Utah,Associate degree in college,171
2012,Utah,Bachelor's degree,297
2012,Utah,Doctorate degree,23
2012,Utah,Elementary,38
2012,Utah,High School,216
2012,Utah,High school graduate,451
2012,Utah,Kindergarten,8
2012,Utah,Master's degree,106
2012,Utah,Middle School,107
2012,Utah,Pre-School,821
2012,Utah,Professional school degree,13
2012,Utah,Some college but no degree,450
2012,Vermont,Associate degree in college,181
2012,Vermont,Bachelor's degree,409
2012,Vermont,Doctorate degree,33
2012,Vermont,Elementary,11
2012,Vermont,High School,165
2012,Vermont,High school graduate,637
2012,Vermont,Kindergarten,3
2012,Vermont,Master's degree,188
2012,Vermont,Middle School,121
2012,Vermont,Pre-School,593
2012,Vermont,Professional school degree,27
2012,Vermont,Some college but no degree,328
2012,Virginia,Associate degree in college,245
2012,Virginia,Bachelor's degree,668
2012,Virginia,Doctorate degree,48
2012,Virginia,Elementary,55
2012,Virginia,High School,308
2012,Virginia,High school graduate,937
2012,Virginia,Kindergarten,3
2012,Virginia,Master's degree,297
2012,Virginia,Middle School,202
2012,Virginia,Pre-School,1023
2012,Virginia,Professional school degree,49
2012,Virginia,Some college but no degree,580
2012,Washington,Associate degree in college,247
2012,Washington,Bachelor's degree,464
2012,Washington,Doctorate degree,27
2012,Washington,Elementary,59
2012,Washington,High School,201
2012,Washington,High school graduate,580
2012,Washington,Kindergarten,14
2012,Washington,Master's degree,187
2012,Washington,Middle School,163
2012,Washington,Pre-School,743
2012,Washington,Professional school degree,40
2012,Washington,Some college but no degree,504
2012,West Virginia,Associate degree in college,129
2012,West Virginia,Bachelor's degree,179
2012,West Virginia,Doctorate degree,12
2012,West Virginia,Elementary,11
2012,West Virginia,High School,147
2012,West Virginia,High school graduate,629
2012,West Virginia,Kindergarten,2
2012,West Virginia,Master's degree,76
2012,West Virginia,Middle School,114
2012,West Virginia,Pre-School,452
2012,West Virginia,Professional school degree,10
2012,West Virginia,Some college but no degree,229
2012,Wisconsin,Associate degree in college,336
2012,Wisconsin,Bachelor's degree,487
2012,Wisconsin,Doctorate degree,36
2012,Wisconsin,Elementary,22
2012,Wisconsin,High School,258
2012,Wisconsin,High school graduate,829
2012,Wisconsin,Kindergarten,6
2012,Wisconsin,Master's degree,180
2012,Wisconsin,Middle School,162
2012,Wisconsin,Pre-School,834
2012,Wisconsin,Professional school degree,29
2012,Wisconsin,Some college but no degree,486
2012,Wyoming,Associate degree in college,226
2012,Wyoming,Bachelor's degree,230
2012,Wyoming,Doctorate degree,25
2012,Wyoming,Elementary,20
2012,Wyoming,High School,192
2012,Wyoming,High school graduate,628
2012,Wyoming,Kindergarten,3
2012,Wyoming,Master's degree,84
2012,Wyoming,Middle School,109
2012,Wyoming,Pre-School,697
2012,Wyoming,Professional school degree,12
2012,Wyoming,Some college but no degree,403
2013,Alabama,Associate degree in college,139
2013,Alabama,Bachelor's degree,234
2013,Alabama,Doctorate degree,18
2013,Alabama,Elementary,23
2013,Alabama,High School,208
2013,Alabama,High school graduate,548
2013,Alabama,Kindergarten,6
2013,Alabama,Master's degree,105
2013,Alabama,Middle School,125
2013,Alabama,Pre-School,447
2013,Alabama,Professional school degree,23
2013,Alabama,Some college but no degree,256
2013,Alaska,Associate degree in college,152
2013,Alaska,Bachelor's degree,318
2013,Alaska,Doctorate degree,19
2013,Alaska,Elementary,23
2013,Alaska,High School,189
2013,Alaska,High school graduate,526
2013,Alaska,Kindergarten,10
2013,Alaska,Master's degree,103
2013,Alaska,Middle School,99
2013,Alaska,Pre-School,630
2013,Alaska,Professional school degree,14
2013,Alaska,Some college but no degree,427
2013,Arizona,Associate degree in college,137
2013,Arizona,Bachelor's degree,276
2013,Arizona,Doctorate degree,24
2013,Arizona,Elementary,91
2013,Arizona,High School,210
2013,Arizona,High school graduate,515
2013,Arizona,Kindergarten,25
2013,Arizona,Master's degree,118
2013,Arizona,Middle School,176
2013,Arizona,Pre-School,620
2013,Arizona,Professional school degree,15
2013,Arizona,Some college but no degree,389
2013,Arkansas,Associate degree in college,137
2013,Arkansas,Bachelor's degree,219
2013,Arkansas,Doctorate degree,6
2013,Arkansas,Elementary,37
2013,Arkansas,High School,215
2013,Arkansas,High school graduate,542
2013,Arkansas,Kindergarten,4
2013,Arkansas,Master's degree,79
2013,Arkansas,Middle School,126
2013,Arkansas,Pre-School,569
2013,Arkansas,Professional school degree,7
2013,Arkansas,Some college but no degree,329
2013,California,Associate degree in college,1244
2013,California,Bachelor's degree,2813
2013,California,Doctorate degree,237
2013,California,Elementary,865
2013,California,High School,1673
2013,California,High school graduate,3478
2013,California,Kindergarten,154
2013,California,Master's degree,975
2013,California,Middle School,1050
2013,California,Pre-School,4648
2013,California,Professional school degree,183
2013,California,Some college but no degree,3148
2013,Colorado,Associate degree in college,280
2013,Colorado,Bachelor's degree,809
2013,Colorado,Doctorate degree,66
2013,Colorado,Elementary,72
2013,Colorado,High School,334
2013,Colorado,High school graduate,713
2013,Colorado,Kindergarten,12
2013,Colorado,Master's degree,296
2013,Colorado,Middle School,201
2013,Colorado,Pre-School,1037
2013,Colorado,Professional school degree,32
2013,Colorado,Some college but no degree,658
2013,Connecticut,Associate degree in college,266
2013,Connecticut,Bachelor's degree,668
2013,Connecticut,Doctorate degree,54
2013,Connecticut,Elementary,43
2013,Connecticut,High School,350
2013,Connecticut,High school graduate,873
2013,Connecticut,Kindergarten,4
2013,Connecticut,Master's degree,399
2013,Connecticut,Middle School,179
2013,Connecticut,Pre-School,920
2013,Connecticut,Professional school degree,69
2013,Connecticut,Some college but no degree,515
2013,Delaware,Associate degree in college,190
2013,Delaware,Bachelor's degree,407
2013,Delaware,Doctorate degree,27
2013,Delaware,Elementary,32
2013,Delaware,High School,226
2013,Delaware,High school graduate,727
2013,Delaware,Kindergarten,23
2013,Delaware,Master's degree,173
2013,Delaware,Middle School,124
2013,Delaware,Pre-School,686
2013,Delaware,Professional school degree,23
2013,Delaware,Some college but no degree,412
2013,District of Columbia,Associate degree in college,69
2013,District of Columbia,Bachelor's degree,559
2013,District of Columbia,Doctorate degree,80
2013,District of Columbia,Elementary,52
2013,District of Columbia,High School,154
2013,District of Columbia,High school graduate,456
2013,District of Columbia,Kindergarten,18
2013,District of Columbia,Master's degree,409
2013,District of Columbia,Middle School,101
2013,District of Columbia,Pre-School,508
2013,District of Columbia,Professional school degree,139
2013,District of Columbia,Some college but no degree,275
2013,Florida,Associate degree in college,766
2013,Florida,Bachelor's degree,1186
2013,Florida,Doctorate degree,75
2013,Florida,Elementary,147
2013,Florida,High School,581
2013,Florida,High school graduate,1896
2013,Florida,Kindergarten,14
2013,Florida,Master's degree,397
2013,Florida,Middle School,370
2013,Florida,Pre-School,1618
2013,Florida,Professional school degree,80
2013,Florida,Some college but no degree,1052
2013,Georgia,Associate degree in college,270
2013,Georgia,Bachelor's degree,582
2013,Georgia,Doctorate degree,55
2013,Georgia,Elementary,66
2013,Georgia,High School,378
2013,Georgia,High school graduate,942
2013,Georgia,Kindergarten,6
2013,Georgia,Master's degree,230
2013,Georgia,Middle School,194
2013,Georgia,Pre-School,1070
2013,Georgia,Professional school degree,44
2013,Georgia,Some college but no degree,595
2013,Hawaii,Associate degree in college,275
2013,Hawaii,Bachelor's degree,524
2013,Hawaii,Doctorate degree,36
2013,Hawaii,Elementary,45
2013,Hawaii,High School,187
2013,Hawaii,High school graduate,905
2013,Hawaii,Kindergarten,10
2013,Hawaii,Master's degree,173
2013,Hawaii,Middle School,98
2013,Hawaii,Pre-School,666
2013,Hawaii,Professional school degree,42
2013,Hawaii,Some college but no degree,559
2013,Idaho,Associate degree in college,165
2013,Idaho,Bachelor's degree,247
2013,Idaho,Doctorate degree,30
2013,Idaho,Elementary,38
2013,Idaho,High School,164
2013,Idaho,High school graduate,428
2013,Idaho,Kindergarten,2
2013,Idaho,Master's degree,74
2013,Idaho,Middle School,99
2013,Idaho,Pre-School,656
2013,Idaho,Professional school degree,15
2013,Idaho,Some college but no degree,344
2013,Illinois,Associate degree in college,351
2013,Illinois,Bachelor's degree,886
2013,Illinois,Doctorate degree,56
2013,Illinois,Elementary,117
2013,Illinois,High School,403
2013,Illinois,High school graduate,1234
2013,Illinois,Kindergarten,13
2013,Illinois,Master's degree,389
2013,Illinois,Middle School,286
2013,Illinois,Pre-School,1395
2013,Illinois,Professional school degree,66
2013,Illinois,Some college but no degree,884
2013,Indiana,Associate degree in college,222
2013,Indiana,Bachelor's degree,300
2013,Indiana,Doctorate degree,24
2013,Indiana,Elementary,23
2013,Indiana,High School,238
2013,Indiana,High school graduate,727
2013,Indiana,Kindergarten,2
2013,Indiana,Master's degree,125
2013,Indiana,Middle School,156
2013,Indiana,Pre-School,750
2013,Indiana,Professional school degree,33
2013,Indiana,Some college but no degree,415
2013,Iowa,Associate degree in college,347
2013,Iowa,Bachelor's degree,489
2013,Iowa,Doctorate degree,27
2013,Iowa,Elementary,39
2013,Iowa,High School,249
2013,Iowa,High school graduate,804
2013,Iowa,Kindergarten,5
2013,Iowa,Master's degree,150
2013,Iowa,Middle School,185
2013,Iowa,Pre-School,911
2013,Iowa,Professional school degree,22
2013,Iowa,Some college but no degree,469
2013,Kansas,Associate degree in college,183
2013,Kansas,Bachelor's degree,402
2013,Kansas,Doctorate degree,25
2013,Kansas,Elementary,27
2013,Kansas,High School,207
2013,Kansas,High school graduate,535
2013,Kansas,Kindergarten,3
2013,Kansas,Master's degree,144
2013,Kansas,Middle School,116
2013,Kansas,Pre-School,747
2013,Kansas,Professional school degree,29
2013,Kansas,Some college but no degree,436
2013,Kentucky,Associate degree in college,184
2013,Kentucky,Bachelor's degree,251
2013,Kentucky,Doctorate degree,26
2013,Kentucky,Elementary,26
2013,Kentucky,High School,205
2013,Kentucky,High school graduate,739
2013,Kentucky,Kindergarten,2
2013,Kentucky,Master's degree,117
2013,Kentucky,Middle School,158
2013,Kentucky,Pre-School,569
